epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.35264429355995686;0.875894;0.4829695497524194;0.8261368066847619;0.4851534977352793;0.87950295;0.73109245;0.99243736;0.1313538;0.87368095;0.4785628518635961;0.8304205332033694;0.3142769688140303;0.48291571753986334;0.8789423;0.67469877;0.9903087;0.12844037
1;0.3270510371941148;0.8793679;0.5049722907474485;0.8340643202400605;0.5;0.885563;0.7093023;0.9881834;0.18419728;0.87895715;0.49214209711375206;0.8299512799910431;0.30495833757684365;0.481651376146789;0.8869509;0.6825397;0.9856425;0.19724771
2;0.3200758524352235;0.88134325;0.5262209142645968;0.8434011241654337;0.5125754527162978;0.88886523;0.7045075;0.9860564;0.21238047;0.8798883;0.5069627431377717;0.8402283369666155;0.3003724333312776;0.49107142857142855;0.89058936;0.66225165;0.98169416;0.2293578
3;0.3158096920067807;0.8833867;0.5299571001228806;0.8466735569447826;0.5105633802816901;0.89674854;0.66349584;0.977706;0.28082538;0.8808194;0.513437628922468;0.8419645738522231;0.29658832421848896;0.5159090909090909;0.89689356;0.63265306;0.9741565;0.28440368
4;0.31281680214507374;0.8807302;0.5376266805102023;0.8501507435006287;0.5193759436336185;0.8847479;0.75652176;0.99117696;0.1751384;0.880509;0.5197310264119464;0.8457103670383371;0.29626535233468615;0.5160550458715596;0.8868837;0.71428573;0.9877961;0.19495413
5;0.31254339638119755;0.8848171;0.5427403405880364;0.8539222450259443;0.5163398692810458;0.901892;0.6491935;0.9725855;0.3241067;0.88175046;0.5237238264645485;0.8478771643275355;0.29867940861789577;0.5159817351598174;0.90230846;0.6180258;0.96805453;0.33027524
6;0.3088712351414823;0.8852939;0.5551650021039521;0.8608046995878125;0.5251509054325956;0.8986242;0.673938;0.9776272;0.29542023;0.8823712;0.5358398851936413;0.8510960767138445;0.2890484460868279;0.518348623853211;0.9002328;0.63255817;0.9716439;0.3119266
7;0.3068345108288148;0.887133;0.5601057312952018;0.8629027864988821;0.5359116022099447;0.8974433;0.7072864;0.98164487;0.28334174;0.8836127;0.5394692254585602;0.849951757476768;0.28907130281241467;0.5091743119266054;0.89746124;0.66137564;0.977028;0.28669724
8;0.30415532016663205;0.8864519;0.5631639950976025;0.8643176471866248;0.5339025615268709;0.90549386;0.6476015;0.96990705;0.35329643;0.8845438;0.5350008600154953;0.8524651435420879;0.2882736472425662;0.5261958997722096;0.90667117;0.62598425;0.96590096;0.3646789
9;0.3021897794402221;0.8866562;0.5649480280576648;0.8657451550724898;0.5359838953195772;0.90653104;0.64484304;0.9688042;0.36185205;0.8857852;0.5370442071503633;0.8523679998946239;0.2891272160575524;0.5160550458715596;0.9065232;0.63709676;0.9676956;0.36238533
10;0.3000986056650873;0.8899258;0.572791306692076;0.8646300210863286;0.5401606425702812;0.89975464;0.7248485;0.98211753;0.30095622;0.8845438;0.5325559435286786;0.8513595171137469;0.28736799768525423;0.5160550458715596;0.8983498;0.6666667;0.977028;0.29357797
11;0.29949037598573014;0.888291;0.5758387047731306;0.8683370774061652;0.5395067941620534;0.89377314;0.76899225;0.9882622;0.24962255;0.8836127;0.536997755048339;0.8536325138141561;0.28708713704721295;0.5080091533180778;0.8935684;0.6918239;0.98241204;0.2522936
12;0.2984158679705671;0.8897895;0.5773293188355111;0.8717414137220435;0.5374937091092099;0.90678716;0.67291474;0.9725067;0.36134878;0.8820608;0.5279887148062137;0.8526026265007869;0.28876801279577535;0.510250569476082;0.90477794;0.612;0.9651831;0.35091743
13;0.29439858443526035;0.8891765;0.5878523422629366;0.8752840168199013;0.5475591343734273;0.896752;0.7452316;0.98526865;0.2752894;0.8857852;0.5411938900603167;0.8522387494484217;0.28637365982500684;0.5137614678899083;0.896914;0.6931818;0.98061734;0.2798165
14;0.2982210452076436;0.8895852;0.5801258412805461;0.8736938596227614;0.5409342039176294;0.90551525;0.6780156;0.9739247;0.35078007;0.8823712;0.5375104243603368;0.8556708839084018;0.28553351853331893;0.5240274599542334;0.902643;0.6223176;0.9684135;0.3325688
15;0.2939157147049563;0.88910836;0.5841265183615215;0.8757848894765718;0.5435329642677403;0.89920634;0.7186358;0.9818024;0.29693004;0.88640594;0.5402296320568514;0.8568761237379557;0.28426185171660395;0.5102974828375286;0.8996037;0.68041235;0.9777459;0.3027523
16;0.29116763025836884;0.8927185;0.595792790797778;0.8770109144130404;0.5520885757423251;0.9060104;0.708502;0.9773121;0.3522899;0.88640594;0.5350858743474145;0.8527516349769818;0.2866786460026238;0.5160550458715596;0.9049531;0.6495727;0.9705671;0.34862384
17;0.2898890762774157;0.8927866;0.5965550115051528;0.876834091517663;0.5520885757423251;0.90208274;0.74208677;0.982669;0.3185707;0.88547486;0.5367438131306694;0.8525474686670574;0.28713026902251626;0.5137614678899083;0.9005635;0.66341466;0.9752333;0.3119266
18;0.29181826656662585;0.8919011;0.5964139614076662;0.8775684615829266;0.5495722194262708;0.89892966;0.7631579;0.98582006;0.29189733;0.88702667;0.5429649204589011;0.8542289593445603;0.28609820672216657;0.5022935779816514;0.8978318;0.7022472;0.9809763;0.28669724
19;0.2925737668609077;0.8919011;0.5973006081692463;0.8785797022064563;0.5558350100603622;0.90129346;0.7375297;0.9825902;0.31253144;0.8882682;0.538313792335733;0.8525417059083096;0.2865675316417092;0.5091743119266054;0.9019218;0.6862745;0.977028;0.32110092
