epoch;loss;train_kappa;train_mad;train_mape;train_mse;val_kappa;val_loss;val_mad;val_mape;val_mse
18;1.8586839312016965;0.4450680598952218;141.3605897125625;282.45355693101544;53207.86146965293;0.4453371625864412;1.5758596658706665;144.576010510875;289.51893138227445;52053.71159497445
19;1.8549848207235335;0.45573464007333553;126.59830861168749;271.76223774492667;45739.70885115501;0.45933338144166624;1.227298378944397;130.94215855337498;265.2564419842631;44820.32766148707
20;1.8549658478498459;0.4498184679667858;128.85701267525002;322.89329092009444;46689.155526489405;0.4664032594035117;1.7282071113586426;131.82448192799998;259.75722773963565;44994.83643112082
21;1.8483214102983474;0.44985415356096603;143.5829130396875;288.62903908430366;54887.61492163149;0.4532694494526771;1.7518012523651123;146.86576749499997;290.5818404894361;53537.14340390153
22;1.8509915895164013;0.45344403766669383;137.25952893637498;280.57489186989073;51316.45822703118;0.46199398988616536;1.3567004203796387;135.92530797537498;232.12979465419025;47380.13227772631
23;1.8452373771965505;0.44558167178723507;170.84581966943747;351.8155407351757;70121.18707267888;0.43380368594518803;1.5851423740386963;168.43304615124998;392.66620020166323;66363.62554717195
24;1.8487010732591151;0.45220562723314983;134.2894656983125;246.68579544427652;50388.01880357716;0.43599547631558633;1.9229822158813477;137.213782281;271.6615723135057;48753.29888276025
25;1.8415904045403004;0.4625476950130786;114.256632509125;270.1338305426206;40215.29384745949;0.46006399924506014;2.057694673538208;114.79903513912498;271.2066995434405;35557.52184935739
26;1.8379396719038485;0.45558079142399344;120.99903211049997;285.0404205146283;42390.26479978266;0.4542464923442773;2.202204465866089;119.92464958675;304.5991873603393;39835.392084302825
27;1.8262418766915798;0.46141839097007;128.2208472325;275.67211710510315;47094.41774523525;0.45730436053086565;1.1643834114074707;130.30012601525002;251.4256675289046;45207.16568393874
28;1.8173815157413482;0.461916410222619;117.648784081875;216.99734520051268;41698.764441506;0.44914104998152216;1.1794259548187256;121.622513023125;268.1263325191851;39456.294958915176
0;2.30938206911087;0.024390243902438935;114.38852134375;97.10756610865306;46333.55696839236;0.02825399356776448;2.061652183532715;108.71275126874998;142.22269223163948;51223.87304919785
1;2.1629781782627107;0.01558497522204405;132.47118334375;112.86827952540743;72457.31428359871;0.023555241320284415;2.4042928218841553;77.23873834999999;176.2455980796733;25394.039997955177
