epoch;loss;train_kappa;train_mad;train_mape;train_mse;val_kappa;val_loss;val_mad;val_mape;val_mse
2;2.0974821209907533;0.024060213962535437;144.8980689;200.3464864164831;64942.81656523455;0.026220832331008137;2.081336736679077;105.58602730624997;143.51587352653928;31140.904784964503
3;2.1814822971820833;0.25402434236356497;172.96536715;262.9655426640303;77615.51131517426;0.3009586176969504;1.642326831817627;171.56135151874997;555.230952796475;77359.65029925486
4;2.0246926307678224;0.26252988433952906;119.25602376875001;161.65545688661888;43618.64292639219;0.27004201502355396;2.06679630279541;122.7683571625;293.95745584897503;43694.18104157182
5;2.09441933631897;0.17769581254068123;95.38934991875;141.05784977112782;35228.44788232526;0.09938236945536205;1.7351675033569336;92.514104075;146.8426530050846;30544.921059766
6;2.0798398852348328;0.254071661237785;152.30144689999997;1195.9240008026334;57130.20281008596;0.2881494028602669;1.7996834516525269;142.27220661874998;317.5044421647698;53097.55882852499
7;2.1208744168281557;0.3302116501217457;202.7638431625;594.9846174242987;95843.70428785656;0.4221030682156688;2.4354746341705322;170.08508473749998;682.2364011901354;66005.06090509854
8;2.0648585200309753;0.2469188270293241;157.25383535;310.5179546370035;65251.00438498948;0.3882611246758654;1.7281467914581299;166.119142625;329.41669533175263;63252.24325883346
9;1.9896405339241028;0.35838643717864704;172.45922415625;2995.491960872323;78531.95189220937;0.31069523244982644;1.5710903406143188;143.43545420624997;267.997277451821;53163.63788838477
10;2.0872586011886596;0.367241568713611;175.0615116125;349.51307872392914;64857.2698133457;0.4175480411142558;2.1312294006347656;177.94503981875;2865.0086047821483;74562.29987974907
11;1.9873214483261108;0.3349794238683129;134.7307376625;169.23502350615132;47771.878036198555;0.2973592678234849;1.5173323154449463;180.51860381875;275.11451735403546;73457.1728092735
12;2.041038656234741;0.3600243221160242;172.69695493125;295.49725867875424;66962.12302156533;0.3957868168139015;1.963575839996338;169.88834912499996;1691.8966444741689;66327.69338038664
13;2.043612837791443;0.26968899891691156;192.82394478125;970.7495040952643;83322.62425114456;0.39799573097934227;1.9334238767623901;192.90806804374998;529.1547454909382;79067.68231802701
14;1.9871554613113402;0.39783186745755783;149.31172516875;348.0611717896895;57874.191706993246;0.39866205983974123;2.6511311531066895;182.552194775;346.86225329923224;73525.67629662323
15;2.0798022747039795;0.33313441742503347;202.13899527499998;384.31210308208534;90164.70746023855;0.2766405048952181;2.0799741744995117;170.87077536249998;491.41630663816284;70160.0360450232
16;1.9901001095771789;0.4063688567380118;171.76296396875;257.8695669042973;67746.16496739956;0.35819409095938914;1.9165382385253906;191.39572861249997;304.066296028255;78005.15550025071
17;1.833795189857483;0.25935172471185464;189.2997735625;279.94648203853745;118612.47513383828;0.2709169083914501;2.0601015090942383;149.63896803125;211.6468068175533;58099.95555690499
18;1.8587886214256286;0.2821351149649953;226.28621234374995;684.5397721913569;94815.69518446826;0.31040573719817;2.0680270195007324;220.13114211875;701.6600879526085;90997.27035954657
19;1.8263631761074066;0.2911286089238845;162.68130445625;413.9101005968426;66130.63675284437;0.38451329268798473;1.862297773361206;153.87610865624998;550.2706300869086;63051.6157413393
20;1.956932407617569;0.336612789880534;164.454612225;1279.721759063282;65522.86868228779;0.4040188458905488;1.6722357273101807;147.6440898375;314.36825420406035;57158.097346472015
21;1.8454559087753295;0.28671765256750437;178.0092493125;761.5581257725559;79365.37902929579;0.3060739039494731;1.7548549175262451;157.9662625125;576.8341789910792;63601.390166230594
22;1.7437462627887725;0.31088859102735955;172.63558655000003;234.3101847260221;72287.8842885491;0.4032054395337542;1.6388417482376099;159.42622705624999;345.29514929980525;59680.79639804979
23;1.9843064546585083;0.4343206393982134;158.25777405625;517.7694050206286;57188.05892763632;0.44864885166475754;2.099430561065674;138.99701308125;180.43992011013344;50745.02507491631
24;2.0064650595188143;0.4453360724144573;105.70385226875001;159.29246681595023;32563.985937428264;0.42600621570809194;1.3337748050689697;128.75834194375;207.06899877823642;36642.33183236462
25;1.9803438127040862;0.40640336527225984;109.0374945625;202.23532432170566;29915.25363194281;0.35557194983350937;2.071768045425415;106.7387711375;294.8803819145014;28924.504450342258
26;1.9406446158885955;0.3831168831168832;110.75301725;160.40536549981468;31052.443435688903;0.41856878470080205;1.678885817527771;121.96908296874999;267.86571358460475;38122.18051086479
27;1.936058509349823;0.5145123150647666;91.36252470625;151.18757049659808;24778.064796271872;0.39147540983606555;1.855842113494873;97.26505279999999;474.6796531719431;28959.802152585595
28;2.030168390274048;0.4071053250725434;120.036044575;320.43175169354765;45188.758345052796;0.4121958094522221;2.0382778644561768;131.27504207500002;301.29049949887036;41757.26857526063
29;1.9587864220142364;0.4671057555572188;167.09070847499999;219.68598983571673;66436.62736293669;0.4285816070251688;2.375476360321045;189.28068282499999;235.5805012119034;73251.85748030074
30;2.0101369500160216;0.3923132156759005;176.92783929374997;350.3512382921661;69853.39168592272;0.39007568131827164;2.1720969676971436;180.1547552125;1909.9739823976656;71892.35780467612
31;2.0132554471492767;0.369459536745782;193.2418244375;602.7280162530482;75017.86200320402;0.41997619305269995;2.2184252738952637;183.795043825;426.20380512434275;72905.23152221755
32;1.90531844496727;0.28681686525486916;232.88306553125;799.6573841378998;104923.40321194874;0.3694882831181254;2.1676697731018066;180.7634167;865.4093179858086;81653.7259165854
33;1.9357739746570588;0.35953420669577874;167.53783343125002;297.20612187834877;75560.14719027691;0.3509905559894908;1.8678958415985107;182.63545550625;177.1219016308153;66676.01710638232
34;1.8907296419143678;0.4174907292954265;122.53107268125;1304.357872173934;41565.520892801214;0.2779097387173398;2.1945853233337402;152.88836168749998;296.4056478209797;48071.6597758363
