epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.08564665995846735;0.9805625;0.2379183407797712;0.8750291619412827;0.27899686520376177;0.98091364;0.7;0.9996174;0.043887146;0.977875;0.2166590047673344;0.8581084184367446;0.5591132044792175;0.2756756756756757;0.97858214;0.625;0.99923265;0.055248618
1;0.07804723331463174;0.980375;0.29551292464125356;0.8719511322542592;0.34036144578313254;0.98053575;0.8636364;0.99980855;0.05757576;0.977625;0.2584787767322621;0.8596392552777306;0.033420443534851074;0.30939226519337015;0.97785836;0.6666667;0.99974424;0.022099448
0;0.08611680676665856;0.97975;0.20672194691644052;0.870928154700588;0.2777777777777778;0.98017013;0.5;0.99955344;0.021604938;0.97725;0.23694461688167565;0.8598090989261816;0.010552987456321716;0.2756756756756757;0.977839;0.61538464;0.9993602;0.043243244
1;0.0839211924590636;0.9806875;0.2332764308818268;0.8686187521015651;0.3035143769968051;0.9811037;0.6111111;0.9995538;0.03514377;0.978375;0.23620666849610647;0.856197156392658;0.02410588040947914;0.2808988764044944;0.9786009;0.7777778;0.9997443;0.039325844
2;0.07785984958440531;0.9799375;0.23273677491644873;0.8671154780790458;0.30030959752321984;0.98041546;0.5555556;0.9994897;0.030959751;0.978875;0.23386640011031168;0.8646600555931184;0.5960020422935486;0.2823529411764706;0.97971195;0.53333336;0.999106;0.047058824
3;0.07558364317752421;0.9809375;0.2712002731584834;0.8762158509887257;0.31790123456790126;0.98170084;0.6976744;0.99917084;0.0931677;0.977125;0.24439225987824262;0.8691176025385922;0.026845239102840424;0.3112244897959184;0.97771376;0.61538464;0.99936014;0.043010753
4;0.07764643644014722;0.98125;0.29007545887234826;0.8703757570844506;0.3560371517027864;0.9835251;0.6082474;0.99757636;0.18380062;0.978125;0.25367759574992577;0.8552336538544412;0.07113899290561676;0.32222222222222224;0.9805203;0.53488374;0.9974431;0.12921348
5;0.07395048371856683;0.9804375;0.3362528221816049;0.8822062073905759;0.3567251461988304;0.9812457;0.75438595;0.9991059;0.12573099;0.98;0.25564975246732957;0.84289442682653;0.3315080404281616;0.30952380952380953;0.9811889;0.61538464;0.9987235;0.09638554
6;0.08110154088592389;0.9804375;0.2433103198181244;0.8757246966763762;0.2796352583586626;0.9811439;0.6756757;0.9992344;0.07668712;0.977875;0.28176893736631803;0.8820758738277921;0.02698322758078575;0.3333333333333333;0.9783452;0.6363636;0.9994885;0.03888889
7;0.07616394089366077;0.981;0.24032410545951616;0.8695715974094664;0.3047619047619048;0.9817123;0.6363636;0.99923503;0.06709265;0.97725;0.2418318364698906;0.873823985845494;0.018756693229079247;0.2864583333333333;0.97818726;0.65217394;0.9989758;0.07936508
8;0.07628144164552214;0.9796875;0.2931321417461443;0.8688901649627154;0.33994334277620397;0.98134655;0.64102566;0.9982112;0.14409222;0.976625;0.2598188884864821;0.8789831038022312;0.01660965196788311;0.2931937172774869;0.97888917;0.54761904;0.99756694;0.12041885
9;0.07160809720371616;0.981375;0.27128833674865926;0.8817513817102896;0.3111111111111111;0.9820232;0.6857143;0.9992989;0.07717042;0.981125;0.2719044433896247;0.8558935732534441;0.0023081654217094183;0.29012345679012347;0.9812195;0.9230769;0.99987245;0.074074075
0;0.14666009324137122;0.965625;0.05858731364800796;0.66519564577817;0.1;0.965625;nan;1.0;0.0;0.9625;0.1444074046955973;0.5806277056277056;0.004603998269885778;0.16666666666666666;0.9625;nan;1.0;0.0
1;0.15856404170626776;0.975;0.05816483434217762;0.6582532051282051;0.15789473684210525;0.975;nan;1.0;0.0;0.98125;0.30692984296813286;0.90552016985138;0.034419964998960495;0.3333333333333333;0.98125;nan;1.0;0.0
2;0.12349926771130412;0.990625;0.07450186799501868;0.7560462670872765;0.16666666666666666;0.990625;nan;1.0;0.0;0.9875;0.02732926853212546;0.7697784810126582;0.02493983507156372;0.043478260869565216;0.9875;nan;1.0;0.0
0;0.20468512976658532;0.984375;0.05269821660025293;0.8228571428571428;0.2;0.984375;nan;1.0;0.0;0.9625;0.24929153659923103;0.7602813852813852;0.04020293802022934;0.3333333333333333;0.9625;nan;1.0;0.0
1;0.09788801588583737;0.984375;0.053317623102967976;0.827936507936508;0.125;0.984375;nan;1.0;0.0;0.98125;0.026302324683911905;0.615180467091295;0.01381844561547041;0.04938271604938271;0.98125;nan;1.0;0.0
2;0.08583794389851392;0.9875;0.02088872021333083;0.5245253164556962;0.05714285714285714;0.9875;nan;1.0;0.0;0.978125;0.08609957701810657;0.8110451848471016;0.012938933447003365;0.18181818181818182;0.978125;nan;1.0;0.0
3;0.08990160742541775;0.98125;0.10585832384272015;0.9156050955414013;0.2222222222222222;0.98125;nan;1.0;0.0;0.98125;0.10438425774730387;0.8593418259023354;0.035161394625902176;0.2222222222222222;0.98125;nan;1.0;0.0
4;0.0743423288105987;0.98125;0.05553606191855301;0.8280254777070064;0.1;0.98125;nan;1.0;0.0;0.975;0.3690546132500708;0.8890224358974359;0.013436876237392426;0.35714285714285715;0.975;nan;1.0;0.0
5;0.11910283644683659;0.99375;0.13532153729071536;0.8867924528301886;0.5;0.99375;nan;1.0;0.0;0.9625;0.15014864344852497;0.792478354978355;0.03597119450569153;0.26666666666666666;0.9625;nan;1.0;0.0
0;0.09121163431451715;0.97775;0.21654899026834062;0.8697124442054518;0.2717391304347826;0.97798765;0.5555556;0.9997443;0.014005602;0.9775;0.2547216543954893;0.8568826104797516;0.007283237297087908;0.3114754098360656;0.97749156;1.0;1.0;0.016393442
1;0.08211885078559862;0.9783125;0.29243463590867835;0.8812100506416867;0.3505747126436782;0.9784906;0.5714286;0.9998083;0.011494253;0.978125;0.26209129689603305;0.8529701590730839;0.03776607662439346;0.30337078651685395;0.9781168;1.0;1.0;0.016853932
